gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,65.77,1820.28,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,115.24,5508.94,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,35.51,35.51,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,106.46,7513.54,0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,74.56,1259.6,1
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,113.73,7987.55,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,110.64,210.45,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,76.29,2161.71,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,24.19,24.19,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,54.22,54.22,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,118.92,8632.57,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,81.22,369.26,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,86.39,4097.87,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,125.94,4203.06,1
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,114.68,1295.54,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,57.28,549.96,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,81.29,5723.84,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,23.9,481.71,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,95.46,5811.7,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,88.62,1141.37,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,99.97,4622.12,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,57.41,113.06,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,94.84,169.52,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,93.89,4965.77,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,74.37,4931.53,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,108.16,4600.66,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,117.81,1695.64,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,83.19,2097.88,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,96.36,756.63,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,88.32,5258.03,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,114.17,2096.21,1
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,115.04,7285.8,0
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,125.78,8207.14,0
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,28.75,1030.47,0
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,125.37,9159.51,0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,117.53,5504.64,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,104.6,6342.26,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,50.16,3529.04,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,63.53,1117.74,0
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,109.89,997.88,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,88.64,287.34,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,91.29,4223.62,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,94.26,2971.94,0
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,23.25,1074.0,0
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,95.77,1064.24,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,58.3,58.3,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,23.66,1265.08,0
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,128.37,8165.81,0
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,28.88,1696.38,0
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,76.45,210.28,0
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,131.1,7284.21,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,66.14,3195.87,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,63.05,556.37,0
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,87.3,2465.84,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,29.94,1406.14,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,94.68,94.68,1
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,59.71,667.77,0
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,87.67,579.66,1
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,119.7,4990.38,0
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,23.49,1134.49,0
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,115.81,1071.5,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,73.74,2628.59,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,24.41,1249.24,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,23.83,1107.29,0
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,39.61,1184.47,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,94.85,2971.1,0
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,88.57,88.57,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,99.8,6788.75,0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,130.82,8372.5,0
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,119.92,8865.44,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,92.74,1089.35,1
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,78.62,5585.12,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,24.66,133.36,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,24.18,1274.69,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,113.81,2905.24,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,23.26,23.26,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,22.99,22.99,0
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,110.74,4203.11,0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,53.54,3558.32,0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,131.49,9099.04,1
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,28.25,116.48,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,121.91,8548.36,0
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,35.81,1101.84,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,109.58,4554.35,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,22.38,1572.98,0
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,112.66,6100.63,1
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,67.11,3523.11,0
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,109.66,4731.02,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,91.07,3414.26,1
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,64.52,4045.45,0
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,107.24,296.48,0
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,36.96,1340.56,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,116.22,1234.28,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,24.67,997.69,0
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,100.28,2532.36,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,118.8,6565.44,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,24.73,134.71,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,86.74,267.63,1
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,58.58,404.83,0
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,24.22,73.05,0
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,104.19,3546.45,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,92.95,2543.17,1
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,28.1,2056.74,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,22.72,22.72,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,66.36,4684.93,0
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,100.64,1423.37,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,68.04,1744.74,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,58.44,3768.65,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,41.37,41.37,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,53.09,97.27,1
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,29.97,1385.63,0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,88.2,2091.41,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,23.94,1514.33,0
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,22.9,1367.41,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,84.44,84.44,1
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,105.49,7698.71,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,82.72,655.29,1
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,118.72,7015.4,0
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,98.21,6161.98,0
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,27.88,2044.64,0
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,114.09,7391.04,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,23.14,72.42,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,53.64,53.64,1
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,74.34,2224.41,0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,80.89,1247.04,0
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,81.95,674.63,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,110.39,761.68,1
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,125.16,9177.59,0
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,101.12,6125.17,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,23.63,136.12,0
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,94.01,1339.67,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,99.6,2156.47,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,23.94,498.88,0
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,74.65,1189.77,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,30.49,298.5,0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,65.43,893.29,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,97.37,1881.55,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,82.36,159.76,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,86.96,4658.02,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,23.78,270.04,0
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,23.72,1624.91,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,82.67,318.33,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,103.24,7250.95,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,52.19,3054.29,1
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,24.06,379.11,0
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,99.74,4190.04,0
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,120.15,279.42,1
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,96.34,1389.27,0
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,110.15,5806.86,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,24.3,773.85,0
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,28.62,904.03,0
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,88.19,1357.14,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,89.4,588.88,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,126.09,1866.17,0
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,23.77,1448.41,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,34.95,34.95,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,52.35,52.35,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,101.08,792.68,1
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,89.24,2928.91,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,92.16,1292.73,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,29.34,29.34,1
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,61.69,1219.26,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,35.8,96.75,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,23.12,288.0,0
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,65.77,2764.73,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,83.02,3664.12,0
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,108.73,634.47,1
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,23.6,1643.63,0
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,129.63,9606.03,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,22.52,1391.82,0
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,112.72,2220.1,0
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,28.59,696.83,0
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,133.05,7790.16,0
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,134.07,9604.58,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,24.67,24.67,0
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,120.46,3169.39,0
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,92.39,1283.82,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,122.24,8576.17,0
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,93.56,1235.5,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,81.27,3492.51,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,91.98,3088.81,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,64.05,4827.28,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,94.54,94.54,1
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,122.62,2225.11,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,118.64,7705.72,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,54.16,99.49,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,29.91,29.91,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,23.36,1329.48,0
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,23.22,627.11,0
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,102.91,2342.59,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,68.26,3993.84,0
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,52.77,3661.85,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,67.2,4499.01,0
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,99.56,6296.12,0
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,95.4,744.81,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,82.98,317.43,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,29.17,2164.63,0
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,23.32,23.32,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,58.48,209.55,1
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,22.51,255.16,0
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,58.81,1497.78,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,97.27,3051.46,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,64.56,64.56,1
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,107.39,3253.08,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,100.79,4852.95,0
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,128.49,6853.68,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,109.87,5578.94,0
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,99.73,99.73,1
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,23.79,1840.52,0
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,29.17,814.15,0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,64.53,135.34,1
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,34.46,348.11,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,84.21,1503.43,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,112.32,1324.5,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,22.89,329.52,0
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,103.66,7601.69,0
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,130.79,9435.81,0
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,89.32,3811.61,0
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,110.31,7158.45,0
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,63.06,841.56,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,90.15,327.1,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,76.14,2965.77,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,89.16,1287.37,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,58.17,58.17,1
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,118.07,5126.55,0
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,108.9,5380.49,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,82.32,172.06,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,47.94,47.94,1
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,97.58,3070.02,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,23.0,223.64,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,70.14,4833.74,0
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,137.75,8387.41,0
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,135.48,6861.3,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,52.56,94.93,1
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,51.97,1418.92,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,48.59,156.1,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,128.23,1636.48,1
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,103.96,5698.65,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,58.62,1787.51,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,135.27,6007.85,0
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,104.58,6560.46,0
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,29.5,1416.19,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,124.44,2378.84,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,22.6,1284.3,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,28.24,2018.33,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,112.44,1799.04,1
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,71.13,4107.42,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29.6,29.6,1
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,128.0,2597.04,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,83.0,83.0,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,100.35,471.32,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,125.0,6693.09,1
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,76.8,1584.31,0
1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,65.18,914.84,0
0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,60.14,291.2,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,65.88,385.7,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,59.75,581.41,0
0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,29.69,29.69,0
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,62.87,4258.24,0
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,112.17,2098.41,1
0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,87.54,2054.35,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,52.03,1087.81,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,82.4,82.4,1
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,86.74,706.22,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,52.9,513.57,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,87.63,1972.22,1
1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,70.49,2328.15,0
1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,103.39,2311.75,0
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,104.36,663.2,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,22.78,254.8,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,23.82,23.82,0
0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,90.39,6461.22,0
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,117.01,3990.22,0
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,88.05,3562.04,0
0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,84.95,84.95,1
1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,74.8,1740.17,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,112.3,466.04,1
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,106.4,419.79,0
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,71.27,4856.31,0
1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,97.1,3727.01,0
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,29.73,1473.44,0
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,88.07,2708.31,1
